position_abs,time,name,country,date_birth,position_venue,venue,date
1,43.03,Wayde van Niekerk,RSA,1992-07-15,1,Rio de Janeiro,2016-08-14
2,43.18,Michael Johnson,USA,1967-09-13,1,Sevilla,1999-08-26
3,43.29,Harry Reynolds,USA,1964-06-08,1rA,Zürich,1988-08-17
4,43.39,Michael Johnson,USA,1967-09-13,1,Göteborg,1995-08-09
5,43.44,Michael Johnson,USA,1967-09-13,1,Atlanta,1996-06-19
6,43.45,Jeremy Wariner,USA,1984-01-31,1,Osaka,2007-08-31
7,43.48,Wayde van Niekerk,RSA,1992-07-15,1,Beijing,2015-08-26
8,43.49,Michael Johnson,USA,1967-09-13,1,Atlanta,1996-07-29
9,43.5,Quincy Watts,USA,1970-06-19,1,Barcelona,1992-08-05
9,43.5,Jeremy Wariner,USA,1984-01-31,1rA,Stockholm,2007-08-07
11,43.62,Jeremy Wariner,USA,1984-01-31,1rA,Roma,2006-07-14
11,43.62,Wayde van Niekerk,RSA,1992-07-15,1,Lausanne,2017-07-06
13,43.65,Michael Johnson,USA,1967-09-13,1,Stuttgart,1993-08-17
13,43.65,LaShawn Merritt,USA,1986-06-27,2,Beijing,2015-08-26
15,43.66,Michael Johnson,USA,1967-09-13,1,Sacramento,1995-06-16
15,43.66,Michael Johnson,USA,1967-09-13,1rA,Lausanne,1996-07-03
17,43.68,Michael Johnson,USA,1967-09-13,1,Zürich,1998-08-12
17,43.68,Michael Johnson,USA,1967-09-13,1,Sacramento,2000-07-16
19,43.7,Fred Kerley,USA,1995-05-07,1q1,Austin,2017-05-26
20,43.71,Quincy Watts,USA,1970-06-19,1s2,Barcelona,1992-08-03
21,43.72,Isaac Makwala,BOT,1986-09-29,1rA,La Chaux-de-Fonds,2015-07-05
22,43.73,Wayde van Niekerk,RSA,1992-07-15,1,Monaco,2017-07-21
23,43.74,Michael Johnson,USA,1967-09-13,1,Eugene,1993-06-19
23,43.74,LaShawn Merritt,USA,1986-06-27,1,Moskva,2013-08-13
23,43.74,Kirani James,GRN,1992-09-01,1rA,Lausanne,2014-07-03
26,43.75,Michael Johnson,USA,1967-09-13,1,Waco,1997-04-19
26,43.75,LaShawn Merritt,USA,1986-06-27,1,Beijing,2008-08-21
28,43.76,Michael Johnson,USA,1967-09-13,1,Uniondale,1998-07-21
28,43.76,Kirani James,GRN,1992-09-01,2,Rio de Janeiro,2016-08-14
30,43.78,Kirani James,GRN,1992-09-01,3,Beijing,2015-08-26
31,43.81,Danny Everett,USA,1966-11-01,1,New Orleans,1992-06-26
32,43.82,Jeremy Wariner,USA,1984-01-31,1,Zürich,2008-08-29
33,43.83,Quincy Watts,USA,1970-06-19,1,Zürich,1992-08-19
34,43.84,Michael Johnson,USA,1967-09-13,1,Sydney,2000-09-25
34,43.84,Isaac Makwala,BOT,1986-09-29,2,Monaco,2017-07-21
36,43.85,LaShawn Merritt,USA,1986-06-27,3,Rio de Janeiro,2016-08-14
37,43.86,Lee Evans,USA,1947-02-25,1,Ciudad de México,1968-10-18
37,43.86,Michael Johnson,USA,1967-09-13,1,Oslo,1995-07-21
37,43.86,Jeremy Wariner,USA,1984-01-31,1,Saint-Denis,2008-07-18
40,43.87,Steve Lewis,USA,1969-05-16,1,Seoul,1988-09-28
41,43.88,Michael Johnson,USA,1967-09-13,1,Zürich,1995-08-16
42,43.89,Steven Gardiner,BAH,1995-09-12,1s1,London,2017-08-06
43,43.9,Michael Johnson,USA,1967-09-13,1,Madrid,1994-09-06
44,43.91,Harry Reynolds,USA,1964-06-08,2,Atlanta,1996-06-19
44,43.91,Jeremy Wariner,USA,1984-01-31,1,Saint-Denis,2006-07-08
46,43.92,Michael Johnson,USA,1967-09-13,1r2,Lausanne,1999-07-02
46,43.92,Michael Johnson,USA,1967-09-13,1,Eugene,2000-06-24
46,43.92,LaShawn Merritt,USA,1986-06-27,2rA,Lausanne,2014-07-03
46,43.92,Isaac Makwala,BOT,1986-09-29,1rA,Madrid,2017-07-14
50,43.93,Harry Reynolds,USA,1964-06-08,1,Indianapolis,1988-07-20
50,43.93,Harry Reynolds,USA,1964-06-08,2,Seoul,1988-09-28
50,43.93,Jeremy Wariner,USA,1984-01-31,1,Helsinki,2005-08-12
50,43.93,Youssef Al-Masrahi,KSA,1987-12-31,1h2,Beijing,2015-08-23
50,43.93,Rusheen McDonald,JAM,1992-08-17,2h2,Beijing,2015-08-23
55,43.94,Michael Johnson,USA,1967-09-13,1,Berlin,1993-08-27
55,43.94,Kirani James,GRN,1992-09-01,1,London,2012-08-06
57,43.95,Michael Johnson,USA,1967-09-13,1s1,Sevilla,1999-08-24
57,43.95,Kirani James,GRN,1992-09-01,1,Eugene,2015-05-30
59,43.96,Michael Johnson,USA,1967-09-13,1,Monaco,1998-08-08
59,43.96,LaShawn Merritt,USA,1986-06-27,2,Osaka,2007-08-31
59,43.96,Kirani James,GRN,1992-09-01,1,Saint-Denis,2013-07-06
59,43.96,Wayde van Niekerk,RSA,1992-07-15,1,Saint-Denis,2015-07-04
63,43.97,Larry James,USA,1947-11-06,2,Ciudad de México,1968-10-18
63,43.97,Quincy Watts,USA,1970-06-19,1s1,New Orleans,1992-06-24
63,43.97,Kirani James,GRN,1992-09-01,1,Eugene,2014-05-31
63,43.97,LaShawn Merritt,USA,1986-06-27,2,Eugene,2014-05-31
63,43.97,LaShawn Merritt,USA,1986-06-27,1,Eugene,2016-07-03
68,43.98,Danny Everett,USA,1966-11-01,2,Indianapolis,1988-07-20
68,43.98,Michael Johnson,USA,1967-09-13,1r1,London,1992-07-10
68,43.98,Jeremy Wariner,USA,1984-01-31,1rA,Oslo,2008-06-06
68,43.98,LaShawn Merritt,USA,1986-06-27,1,Lausanne,2008-09-02
68,43.98,Wayde van Niekerk,RSA,1992-07-15,1,London,2017-08-08
73,43.99,Jeremy Wariner,USA,1984-01-31,1,London,2006-07-28
74,44,Quincy Watts,USA,1970-06-19,1,Austin,1992-06-06
74,44,Jeremy Wariner,USA,1984-01-31,1,Athínai,2004-08-23
74,44,LaShawn Merritt,USA,1986-06-27,1,Eugene,2008-07-03
77,44.01,Isaac Makwala,BOT,1986-09-29,1r1,La Chaux-de-Fonds,2014-07-06
77,44.01,Machel Cedenio,TTO,1995-06-09,4,Rio de Janeiro,2016-08-14
79,44.02,Jeremy Wariner,USA,1984-01-31,1rA,Stockholm,2006-07-25
79,44.02,Jeremy Wariner,USA,1984-01-31,1,Stuttgart,2006-09-09
79,44.02,Jeremy Wariner,USA,1984-01-31,1,Osaka,2007-05-05
79,44.02,Jeremy Wariner,USA,1984-01-31,1,Shanghai,2007-09-28
79,44.02,Kirani James,GRN,1992-09-01,1,Shanghai,2013-05-18
79,44.02,Kirani James,GRN,1992-09-01,1s1,Rio de Janeiro,2016-08-13
79,44.02,Baboloki Thebe,BOT,1997-03-18,2,Lausanne,2017-07-06
86,44.03,LaShawn Merritt,USA,1986-06-27,1,Berlin,2008-06-01
86,44.03,Fred Kerley,USA,1995-05-07,1,Sacramento,2017-06-24
88,44.04,Michael Johnson,USA,1967-09-13,1,Berlin,1994-08-30
89,44.05,Angelo Taylor,USA,1978-12-29,1,Indianapolis,2007-06-23
89,44.05,Jeremy Wariner,USA,1984-01-31,1rA,London,2007-08-03
89,44.05,Jeremy Wariner,USA,1984-01-31,1,Berlin,2007-09-16
92,44.06,Lee Evans,USA,1947-02-25,1,Echo Summit,1968-09-14
92,44.06,Danny Everett,USA,1966-11-01,1,Sevilla,1990-05-30
92,44.06,Michael Johnson,USA,1967-09-13,1,Bruxelles,1998-08-28
92,44.06,LaShawn Merritt,USA,1986-06-27,2,Indianapolis,2007-06-23
92,44.06,LaShawn Merritt,USA,1986-06-27,1,Berlin,2009-08-21
97,44.07,Michael Johnson,USA,1967-09-13,1,Bruxelles,2000-08-25
97,44.07,Jeremy Wariner,USA,1984-01-31,2,Berlin,2008-06-01
99,44.08,Steve Lewis,USA,1969-05-16,2,New Orleans,1992-06-26
99,44.08,Harry Reynolds,USA,1964-06-08,1r1,Lausanne,1997-07-02
99,44.08,Kirani James,GRN,1992-09-01,1,Des Moines,2016-04-29
99,44.08,Isaac Makwala,BOT,1986-09-29,3,Lausanne,2017-07-06
103,44.09,Danny Everett,USA,1966-11-01,3,Seoul,1988-09-28
103,44.09,Alvin Harrison,USA,1974-01-20,3,Atlanta,1996-06-19
103,44.09,Jerome Young,USA,1976-08-14,1,New Orleans,1998-06-21
103,44.09,LaShawn Merritt,USA,1986-06-27,2,Saint-Denis,2013-07-06
103,44.09,Fred Kerley,USA,1995-05-07,1h1,Columbia,2017-05-12
108,44.1,Harry Reynolds,USA,1964-06-08,1,Columbus,1987-05-03
108,44.1,Gary Kikaya,COD,1978-02-04,2,Stuttgart,2006-09-09
108,44.1,Fred Kerley,USA,1995-05-07,1,Eugene,2017-06-09
111,44.11,Steve Lewis,USA,1969-05-16,1s2,Indianapolis,1988-07-18
111,44.11,Isaac Makwala,BOT,1986-09-29,1s2,Beijing,2015-08-24
111,44.11,Luguelin Santos,DOM,1993-11-12,4,Beijing,2015-08-26
111,44.11,Wayde van Niekerk,RSA,1992-07-15,1h2,Bloemfontein,2016-05-06
111,44.11,Fred Kerley,USA,1995-05-07,1s1,Sacramento,2017-06-23
116,44.12,Harry Reynolds,USA,1964-06-08,2,Eugene,1993-06-19
116,44.12,Michael Johnson,USA,1967-09-13,1,Athínai,1997-08-05
116,44.12,Jeremy Wariner,USA,1984-01-31,1r5,Waco,2006-04-22
116,44.12,LaShawn Merritt,USA,1986-06-27,1s3,Beijing,2008-08-19
116,44.12,LaShawn Merritt,USA,1986-06-27,1,Eugene,2012-06-24
116,44.12,Wayde van Niekerk,RSA,1992-07-15,1,Monaco,2016-07-15
122,44.13,Harry Reynolds,USA,1964-06-08,1,Baton Rouge,1987-06-06
122,44.13,Quincy Watts,USA,1970-06-19,1,Sestriere,1993-07-28
122,44.13,Harry Reynolds,USA,1964-06-08,2,Stuttgart,1993-08-17
122,44.13,Derek Mills,USA,1972-07-09,1,Eugene,1995-06-04
122,44.13,Jeremy Wariner,USA,1984-01-31,1,Zürich,2010-08-19
122,44.13,LaShawn Merritt,USA,1986-06-27,1,Zürich,2013-08-29
128,44.14,Roberto Hernández,CUB,1967-03-06,2,Sevilla,1990-05-30
128,44.14,LaShawn Merritt,USA,1986-06-27,3,Stuttgart,2006-09-09
128,44.14,LaShawn Merritt,USA,1986-06-27,1r2,Ponce,2014-05-17
131,44.15,Harry Reynolds,USA,1964-06-08,1,London,1987-07-10
131,44.15,Anthuan Maybank,USA,1969-12-30,1rB,Lausanne,1996-07-03
131,44.15,Jeremy Wariner,USA,1984-01-31,1s1,Beijing,2008-08-19
131,44.15,Kirani James,GRN,1992-09-01,1,Baie Mahault,2016-05-14
135,44.16,Otis Harris,USA,1982-06-30,2,Athínai,2004-08-23
135,44.16,LaShawn Merritt,USA,1986-06-27,1,Ostrava,2014-06-17
135,44.16,Kirani James,GRN,1992-09-01,1s1,Beijing,2015-08-24
138,44.17,Innocent Egbunike,NGR,1961-11-30,1r1,Zürich,1987-08-19
138,44.17,Michael Johnson,USA,1967-09-13,1,Lausanne,1991-07-10
138,44.17,Kirani James,GRN,1992-09-01,2,Saint-Denis,2015-07-04
141,44.18,Samson Kitur,KEN,1966-02-25,2s2,Barcelona,1992-08-03
141,44.18,Anthuan Maybank,USA,1969-12-30,1r1,Zürich,1996-08-14
141,44.18,Alvin Harrison,USA,1974-01-20,1r1,Brisbane,2000-09-08
141,44.18,LaShawn Merritt,USA,1986-06-27,1,Zürich,2015-09-03
145,44.19,Larry James,USA,1947-11-06,2,Echo Summit,1968-09-14
145,44.19,Jerome Young,USA,1976-08-14,1,Edwardsville,1998-05-23
145,44.19,Alvin Harrison,USA,1974-01-20,2,Zürich,1998-08-12
145,44.19,LaShawn Merritt,USA,1986-06-27,1,Ad-Dawhah,2012-05-11
145,44.19,LaShawn Merritt,USA,1986-06-27,1rA,New York City,2014-06-14
145,44.19,Isaac Makwala,BOT,1986-09-29,3h2,Beijing,2015-08-23
145,44.19,Wayde van Niekerk,RSA,1992-07-15,1,Roma,2016-06-02
145,44.19,Nathon Allen,JAM,1995-10-28,2s1,London,2017-08-06
153,44.2,Danny Everett,USA,1966-11-01,2rA,Zürich,1988-08-17
153,44.2,Charles Gitonga,KEN,1971-10-05,1,Nairobi,1996-06-29
153,44.2,Jeremy Wariner,USA,1984-01-31,1,Carson,2005-06-25
153,44.2,Jeremy Wariner,USA,1984-01-31,1,Zürich,2006-08-18
153,44.2,Jeremy Wariner,USA,1984-01-31,2,Eugene,2008-07-03
158,44.21,Michael Johnson,USA,1967-09-13,1,Rieti,1990-09-09
158,44.21,Ian Morris,TTO,1961-11-30,3s2,Barcelona,1992-08-03
158,44.21,Steve Lewis,USA,1969-05-16,2,Barcelona,1992-08-05
158,44.21,LaShawn Merritt,USA,1986-06-27,1,Zürich,2009-08-28
158,44.21,LaShawn Merritt,USA,1986-06-27,1,Des Moines,2013-06-22
158,44.21,LaShawn Merritt,USA,1986-06-27,2s1,Rio de Janeiro,2016-08-13
164,44.22,Roberto Hernández,CUB,1967-03-06,1,Ciudad de México,1988-05-22
164,44.22,Michael Johnson,USA,1967-09-13,1,Köln,1991-09-08
164,44.22,Quincy Watts,USA,1970-06-19,3,New Orleans,1992-06-26
164,44.22,Michael Johnson,USA,1967-09-13,1r1,Zürich,1993-08-04
164,44.22,Harry Reynolds,USA,1964-06-08,2,Göteborg,1995-08-09
164,44.22,Jeremy Wariner,USA,1984-01-31,1,Split,2010-09-04
164,44.22,Kirani James,GRN,1992-09-01,1,Des Moines,2015-04-24
164,44.22,LaShawn Merritt,USA,1986-06-27,2,Des Moines,2016-04-29
164,44.22,Baboloki Thebe,BOT,1997-03-18,1,Gaborone,2016-05-21
164,44.22,Kirani James,GRN,1992-09-01,1,Eugene,2016-05-28
164,44.22,Gil Roberts,USA,1989-03-15,2,Sacramento,2017-06-24
164,44.22,Wayde van Niekerk,RSA,1992-07-15,1s2,London,2017-08-06
176,44.23,Innocent Egbunike,NGR,1961-11-30,1,Nairobi,1987-08-09
176,44.23,Michael Johnson,USA,1967-09-13,1,Norman,1992-04-11
176,44.23,LaShawn Merritt,USA,1986-06-27,2rA,London,2007-08-03
176,44.23,Isaac Makwala,BOT,1986-09-29,1,Marrakesh,2014-08-12
176,44.23,Kirani James,GRN,1992-09-01,1,Birmingham,2016-06-05
181,44.24,Samson Kitur,KEN,1966-02-25,3,Barcelona,1992-08-05
181,44.24,Quincy Watts,USA,1970-06-19,3,Eugene,1993-06-19
181,44.24,Harry Reynolds,USA,1964-06-08,2,Oslo,1995-07-21
181,44.24,Kirani James,GRN,1992-09-01,1,Glasgow,2014-07-30
181,44.24,Wayde van Niekerk,RSA,1992-07-15,1,New York City,2015-06-13
181,44.24,Tony McQuay,USA,1990-04-16,1s1,Eugene,2016-07-02
187,44.25,Michael Johnson,USA,1967-09-13,1,Köln,1990-08-19
187,44.25,Ian Morris,TTO,1961-11-30,4,Barcelona,1992-08-05
187,44.25,Michael Johnson,USA,1967-09-13,1h7,Arlington,1995-05-06
187,44.25,Alvin Harrison,USA,1974-01-20,1q3,Sydney,2000-09-23
187,44.25,Karabo Sibanda,BOT,1998-07-02,5,Rio de Janeiro,2016-08-14
192,44.26,Alberto Juantorena,CUB,1950-12-03,1,Montréal,1976-07-29
192,44.26,Innocent Egbunike,NGR,1961-11-30,1s1,Roma,1987-09-01
192,44.26,Steve Lewis,USA,1969-05-16,3rA,Zürich,1988-08-17
192,44.26,Alvin Harrison,USA,1974-01-20,1,Roodepoort,1998-03-16
192,44.26,Jeremy Wariner,USA,1984-01-31,1,Berlin,2006-09-03
192,44.26,Luguelin Santos,DOM,1993-11-12,2s1,Beijing,2015-08-24
192,44.26,Steven Gardiner,BAH,1995-09-12,1rB,St. George's,2017-04-08
192,44.26,Baboloki Thebe,BOT,1997-03-18,3,Monaco,2017-07-21
200,44.27,Alberto Juantorena,CUB,1950-12-03,1,Medellín,1978-07-16
200,44.27,Alonzo Babers,USA,1961-10-31,1,Los Angeles,1984-08-08
200,44.27,Antonio Pettigrew,USA,1967-11-03,1,Houston,1989-06-17
200,44.27,Michael Johnson,USA,1967-09-13,1,Lausanne,1990-07-12
200,44.27,Steve Lewis,USA,1969-05-16,1,Sestriere,1992-07-21
200,44.27,Darold Williamson,USA,1983-02-19,1s1,Sacramento,2005-06-10
200,44.27,Steven Gardiner,BAH,1995-09-12,1,Nassau,2015-06-27
200,44.27,Abdalelah Haroun,QAT,1997-01-01,2rA,La Chaux-de-Fonds,2015-07-05
208,44.28,Andrew Valmon,USA,1965-01-01,4,Eugene,1993-06-19
208,44.28,Michael Johnson,USA,1967-09-13,1,Lausanne,1998-08-25
208,44.28,Tyree Washington,USA,1976-08-28,1,Los Angeles,2001-05-12
208,44.28,Kirani James,GRN,1992-09-01,2,Zürich,2015-09-03
208,44.28,Wayde van Niekerk,RSA,1992-07-15,1,Somerville,2016-06-17
213,44.29,Michael Johnson,USA,1967-09-13,1,Bruxelles,1996-08-23
213,44.29,Tyree Washington,USA,1976-08-28,2,Monaco,1998-08-08
213,44.29,Derrick Brew,USA,1977-12-28,1,Athens,1999-05-16
213,44.29,Sanderlei Claro Parrela,BRA,1974-10-07,2,Sevilla,1999-08-26
213,44.29,Jeremy Wariner,USA,1984-01-31,1,Bruxelles,2006-08-25
213,44.29,Jeremy Wariner,USA,1984-01-31,1rA,Stockholm,2008-07-22
219,44.3,Gabriel Tiacoh,CIV,1963-09-10,1,Indianapolis,1986-06-07
219,44.3,Harry Reynolds,USA,1964-06-08,1r1,Köln,1989-08-20
219,44.3,Roberto Hernández,CUB,1967-03-06,1,Monaco,1990-08-12
219,44.3,LaMont Smith,USA,1972-12-11,4,Atlanta,1996-06-19
219,44.3,LaShawn Merritt,USA,1986-06-27,1,Edmonton,2014-07-06
219,44.3,LaShawn Merritt,USA,1986-06-27,1,Monaco,2014-07-18
219,44.3,Steven Gardiner,BAH,1995-09-12,1,Székesfehérvár,2015-07-07
219,44.3,Fred Kerley,USA,1995-05-07,1,Columbia,2017-05-13
219,44.3,Isaac Makwala,BOT,1986-09-29,1s3,London,2017-08-06
228,44.31,Harry Reynolds,USA,1964-06-08,1r1,Zürich,1989-08-16
228,44.31,Michael Johnson,USA,1967-09-13,1rA,Zürich,1997-08-13
228,44.31,Alejandro Cárdenas,MEX,1974-09-04,3,Sevilla,1999-08-26
228,44.31,Jeremy Wariner,USA,1984-01-31,1rA,Oslo,2006-06-02
228,44.31,LaShawn Merritt,USA,1986-06-27,1s3,Osaka,2007-08-29
228,44.31,Kirani James,GRN,1992-09-01,1,Tempe,2015-04-11
228,44.31,Wayde van Niekerk,RSA,1992-07-15,1s3,Beijing,2015-08-24
235,44.32,Gabriel Tiacoh,CIV,1963-09-10,1,Westwood,1986-05-17
235,44.32,Danny Everett,USA,1966-11-01,2s2,Indianapolis,1988-07-18
235,44.32,Harry Reynolds,USA,1964-06-08,1,Malmö,1989-08-10
235,44.32,Samson Kitur,KEN,1966-02-25,1,Roma,1994-06-08
235,44.32,Michael Johnson,USA,1967-09-13,1,Durham,1994-08-13
235,44.32,Angelo Taylor,USA,1978-12-29,3,Osaka,2007-08-31
235,44.32,LaShawn Merritt,USA,1986-06-27,1,Eugene,2013-06-01
235,44.32,Kirani James,GRN,1992-09-01,2,Zürich,2013-08-29
243,44.33,Thomas Schönlebe,GER,1965-08-06,1,Roma,1987-09-03
243,44.33,Harry Reynolds,USA,1964-06-08,1s2,Seoul,1988-09-26
243,44.33,Harry Reynolds,USA,1964-06-08,1r1,Atlanta,1996-05-18
243,44.33,Tyree Washington,USA,1976-08-28,1,Palo Alto,2003-06-21
243,44.33,Gil Roberts,USA,1989-03-15,2s1,Sacramento,2017-06-23
243,44.33,Baboloki Thebe,BOT,1997-03-18,2s2,London,2017-08-06
249,44.34,Danny Everett,USA,1966-11-01,1,Westwood,1988-05-22
249,44.34,Samson Kitur,KEN,1966-02-25,1s2,Stuttgart,1993-08-16
249,44.34,Darnell Hall,USA,1971-09-26,1,Lausanne,1995-07-05
249,44.34,LaShawn Merritt,USA,1986-06-27,2,Zürich,2006-08-18
249,44.34,Jeremy Wariner,USA,1984-01-31,1s2,Osaka,2007-08-29
249,44.34,LaShawn Merritt,USA,1986-06-27,1,Baie Mahault,2008-05-01
249,44.34,LaShawn Merritt,USA,1986-06-27,2s3,Beijing,2015-08-24
249,44.34,Machel Cedenio,TTO,1995-06-09,2,Monaco,2016-07-15
257,44.35,Steve Lewis,USA,1969-05-16,1s1,Seoul,1988-09-26
257,44.35,Andrew Valmon,USA,1965-01-01,1,Bruxelles,1990-08-10
257,44.35,Danny Everett,USA,1966-11-01,2,Monaco,1990-08-12
257,44.35,Andrew Rock,USA,1982-01-23,2,Helsinki,2005-08-12
257,44.35,Angelo Taylor,USA,1978-12-29,1r1,Atlanta,2007-05-12
257,44.35,LaShawn Merritt,USA,1986-06-27,2,Saint-Denis,2008-07-18
257,44.35,LaShawn Merritt,USA,1986-06-27,1h3,Daegu,2011-08-28
257,44.35,Wayde van Niekerk,RSA,1992-07-15,3,Zürich,2015-09-03
257,44.35,Isaac Makwala,BOT,1986-09-29,1,Brazzaville,2015-09-15
266,44.36,Danny Everett,USA,1966-11-01,2s1,Seoul,1988-09-26
266,44.36,Danny Everett,USA,1966-11-01,2r1,Zürich,1989-08-16
266,44.36,Antonio Pettigrew,USA,1967-11-03,1,New York City,1991-06-15
266,44.36,Michael Johnson,USA,1967-09-13,1,Bratislava,1992-06-01
266,44.36,Samson Kitur,KEN,1966-02-25,1,Harare,1995-09-15
266,44.36,Iwan Thomas,GBR,1974-01-05,1,Birmingham,1997-07-13
266,44.36,Jerome Young,USA,1976-08-14,1,Raleigh,1999-06-12
266,44.36,Jeremy Wariner,USA,1984-01-31,1rA,Roma,2008-07-11
266,44.36,Kirani James,GRN,1992-09-01,1,Zürich,2011-09-08
266,44.36,LaShawn Merritt,USA,1986-06-27,1s1,Des Moines,2013-06-21
266,44.36,Deon Lendore,TTO,1992-10-28,1,Lexington,2014-05-18
266,44.36,LaShawn Merritt,USA,1986-06-27,1,Zürich,2014-08-28
266,44.36,Machel Cedenio,TTO,1995-06-09,1,Georgetown,2015-05-16
266,44.36,LaShawn Merritt,USA,1986-06-27,1,Edmonton,2015-07-12
266,44.36,Kirani James,GRN,1992-09-01,1rA,Nassau,2016-04-16
266,44.36,Ali Khamis Khamis,BRN,1995-06-30,6,Rio de Janeiro,2016-08-14
282,44.37,Steve Lewis,USA,1969-05-16,3,Indianapolis,1988-07-20
282,44.37,Harry Reynolds,USA,1964-06-08,1,Indianapolis,1993-06-25
282,44.37,Darnell Hall,USA,1971-09-26,2,Eugene,1995-06-04
282,44.37,Roger Black,GBR,1966-03-31,2rA,Lausanne,1996-07-03
282,44.37,Michael Johnson,USA,1967-09-13,1s2,Athínai,1997-08-04
282,44.37,Davis Kamoga,UGA,1968-03-17,2,Athínai,1997-08-05
282,44.37,Mark Richardson,GBR,1972-07-26,1,Oslo,1998-07-09
282,44.37,Mark Richardson,GBR,1972-07-26,3,Monaco,1998-08-08
282,44.37,Alejandro Cárdenas,MEX,1974-09-04,2s1,Sevilla,1999-08-24
282,44.37,Sanderlei Claro Parrela,BRA,1974-10-07,3s1,Sevilla,1999-08-24
282,44.37,Jeremy Wariner,USA,1984-01-31,1,Sacramento,2004-07-15
282,44.37,LaShawn Merritt,USA,1986-06-27,2rA,Roma,2008-07-11
282,44.37,LaShawn Merritt,USA,1986-06-27,1s2,Berlin,2009-08-19
282,44.37,Kirani James,GRN,1992-09-01,1,Lausanne,2012-08-23
282,44.37,Machel Cedenio,TTO,1995-06-09,1rA,Kingston,2016-06-11
297,44.38,Darren Clark,AUS,1965-09-06,3s1,Seoul,1988-09-26
297,44.38,Michael Johnson,USA,1967-09-13,1,Houston,1993-05-21
297,44.38,Tyree Washington,USA,1976-08-28,2rA,Zürich,1997-08-13
297,44.38,Tyree Washington,USA,1976-08-28,2,New Orleans,1998-06-21
297,44.38,Iwan Thomas,GBR,1974-01-05,4,Monaco,1998-08-08
297,44.38,LaShawn Merritt,USA,1986-06-27,1,Monaco,2007-07-25
297,44.38,Angelo Taylor,USA,1978-12-29,2,Lausanne,2008-09-02
297,44.38,Wayde van Niekerk,RSA,1992-07-15,2rA,New York City,2014-06-14
297,44.38,Bralon Taplin,GRN,1992-05-08,3,Monaco,2016-07-15
306,44.39,Michael Johnson,USA,1967-09-13,2s2,Stuttgart,1993-08-16
306,44.39,Roger Black,GBR,1966-03-31,1,Birmingham,1996-06-16
306,44.39,Tyree Washington,USA,1976-08-28,3,Athínai,1997-08-05
306,44.39,Kirani James,GRN,1992-09-01,2,Eugene,2013-06-01
306,44.39,LaShawn Merritt,USA,1986-06-27,2,Eugene,2016-05-28
306,44.39,Machel Cedenio,TTO,1995-06-09,1s2,Rio de Janeiro,2016-08-13
312,44.4,Fred Newhouse,USA,1948-11-08,2,Montréal,1976-07-29
312,44.4,Danny Everett,USA,1966-11-01,1,Lausanne,1988-06-24
312,44.4,Danny Everett,USA,1966-11-01,2r1,Zürich,1990-08-15
312,44.4,Roberto Hernández,CUB,1967-03-06,2,Lausanne,1991-07-10
312,44.4,Michael Johnson,USA,1967-09-13,1,Roma,1998-07-14
312,44.4,Alvin Harrison,USA,1974-01-20,2,Sydney,2000-09-25
312,44.4,Christopher Brown,BAH,1978-10-15,2rA,Oslo,2008-06-06
312,44.4,Jermaine Gonzáles,JAM,1984-11-26,1,Monaco,2010-07-22
312,44.4,Tony McQuay,USA,1990-04-16,2,Moskva,2013-08-13
312,44.4,Youssef Al-Masrahi,KSA,1987-12-31,2s2,Beijing,2015-08-24
322,44.41,Ronald Freeman,USA,1947-06-12,3,Ciudad de México,1968-10-18
322,44.41,Steve Lewis,USA,1969-05-16,1q3,Seoul,1988-09-25
322,44.41,Michael Johnson,USA,1967-09-13,1,Des Moines,1996-04-27
322,44.41,Roger Black,GBR,1966-03-31,2,Atlanta,1996-07-29
322,44.41,Deon Lendore,TTO,1992-10-28,1,Starkville,2015-05-16
322,44.41,David Verburg,USA,1991-05-14,1s1,Eugene,2015-06-26
322,44.41,Bralon Taplin,GRN,1992-05-08,1,Tempe,2016-04-09
322,44.41,LaShawn Merritt,USA,1986-06-27,1,Ad-Dawhah,2016-05-06
322,44.41,Steven Gardiner,BAH,1995-09-12,2,London,2017-08-08
331,44.42,Harry Reynolds,USA,1964-06-08,1,London,1987-08-14
331,44.42,Danny Everett,USA,1966-11-01,1,Zürich,1991-08-07
331,44.42,Harry Reynolds,USA,1964-06-08,2,Sacramento,1995-06-16
331,44.42,Tyree Washington,USA,1976-08-28,3,Zürich,1998-08-12
331,44.42,Tyree Washington,USA,1976-08-28,1,Roma,2003-07-11
331,44.42,Derrick Brew,USA,1977-12-28,3,Athínai,2004-08-23
331,44.42,Jeremy Wariner,USA,1984-01-31,1,Carson,2008-05-18
331,44.42,Wayde van Niekerk,RSA,1992-07-15,1h6,Beijing,2015-08-23
339,44.43,Harry Reynolds,USA,1964-06-08,1h1,Baton Rouge,1987-06-04
339,44.43,Andrew Valmon,USA,1965-01-01,3r1,Zürich,1990-08-15
339,44.43,Roberto Hernández,CUB,1967-03-06,4r1,Zürich,1990-08-15
339,44.43,Quincy Watts,USA,1970-06-19,1,Westwood,1992-05-09
339,44.43,Antonio Pettigrew,USA,1967-11-03,1,Knoxville,1994-06-18
339,44.43,Alvin Harrison,USA,1974-01-20,1s1,Atlanta,1996-06-17
339,44.43,Davis Kamoga,UGA,1968-03-17,3rA,Zürich,1997-08-13
339,44.43,Tyree Washington,USA,1976-08-28,1,Eugene,1998-05-31
